,large_family,lives_in_city,traveltime,studytime,failures,paid,activities,internet,romantic,famrel,freetime,goout,absences,final_grade
0,0,1,1,2,0,1,1,1,0,5,4,2,10,15
1,0,1,1,2,0,0,0,1,0,4,4,4,0,11
2,0,1,1,2,0,1,0,1,0,4,2,2,0,19
3,1,1,1,2,0,1,1,1,0,5,5,1,0,15
4,0,1,1,1,0,1,1,1,0,4,3,3,2,14
5,1,1,2,2,0,1,0,1,0,5,4,3,2,11
6,1,1,1,3,0,0,0,1,1,4,5,2,0,16
7,1,1,1,1,3,0,1,1,0,5,5,5,16,5
8,0,1,1,1,0,1,1,1,0,3,1,3,4,10
9,1,1,1,2,0,0,0,1,0,4,4,1,0,15
10,1,1,1,1,0,1,0,1,0,5,4,2,0,15
11,0,1,1,2,0,0,1,1,0,4,5,1,2,16
12,0,1,2,2,0,0,1,1,0,5,4,4,0,12
13,1,1,1,1,0,1,0,1,0,4,2,2,2,11
14,1,1,1,1,0,1,0,1,0,2,2,4,4,15
15,0,1,1,2,0,0,1,1,0,5,3,3,4,11
16,1,1,1,2,0,1,1,1,1,4,4,5,16,11
17,1,1,1,2,0,1,0,1,0,5,4,2,0,12
18,1,1,2,2,0,0,1,1,0,4,3,1,0,17
19,1,0,1,2,0,0,1,1,1,4,5,2,0,16
20,0,1,1,2,0,0,1,1,0,5,3,2,0,12
21,1,1,1,1,0,1,0,1,0,5,4,3,0,15
22,0,1,1,3,0,0,1,1,0,5,4,3,2,18
23,1,0,2,3,0,0,1,1,1,2,4,3,7,15
24,0,1,1,1,0,0,0,1,1,5,4,3,8,12
25,1,1,1,2,0,0,1,1,0,4,3,3,2,18
26,1,1,1,1,0,0,0,1,0,5,4,1,0,11
27,1,1,1,4,0,0,1,1,0,4,2,2,4,20
28,1,1,1,2,0,1,0,0,0,4,3,3,2,14
29,0,1,2,1,1,0,0,0,0,5,5,5,6,10
30,1,1,1,2,0,0,1,0,0,3,2,2,4,15
31,0,1,1,2,0,0,1,1,0,4,3,2,2,9
32,1,1,1,4,0,0,1,1,1,1,3,3,4,12
33,1,1,2,4,0,1,0,1,0,4,3,2,0,15
34,1,1,1,4,0,0,0,1,0,3,3,3,0,10
35,1,1,1,1,0,0,1,0,0,5,3,2,2,14
36,1,1,1,2,0,1,1,1,0,4,3,3,6,10
37,1,1,2,4,0,0,1,1,0,3,4,3,8,10
38,1,1,2,1,3,0,1,1,0,4,5,1,2,10
39,1,1,1,1,0,1,1,1,1,3,2,2,2,12
40,1,1,1,3,0,1,0,1,0,5,3,2,4,11
41,0,1,2,2,0,1,1,1,0,5,3,3,4,15
42,1,1,2,2,1,1,1,1,0,4,4,2,12,10
43,0,1,1,2,0,0,0,0,0,4,1,3,18,7
44,0,1,1,4,0,0,1,1,0,4,3,4,6,14
45,1,0,2,1,0,0,1,1,0,3,3,3,2,15
46,1,1,1,1,0,1,1,1,0,4,5,5,14,5
47,1,1,1,3,0,0,1,1,1,4,4,3,0,17
48,1,1,1,1,0,0,1,1,0,5,3,3,4,14
49,1,1,1,2,0,1,1,1,0,5,4,4,0,18
50,1,1,1,3,0,0,1,1,0,5,3,3,2,18
51,1,0,4,4,0,1,1,1,1,1,3,5,6,13
52,0,1,1,1,0,0,1,1,0,5,5,3,6,19
53,0,1,1,1,0,0,0,1,0,3,5,2,10,19
54,1,0,1,2,0,0,1,1,1,5,4,2,8,9
55,1,1,1,2,0,0,1,1,0,5,4,4,2,16
56,1,1,2,2,0,0,1,0,0,4,4,3,2,14
57,1,1,2,1,0,0,1,1,0,5,4,2,0,13
58,1,0,3,2,1,0,1,1,0,5,2,4,20,8
59,1,1,1,1,0,0,0,1,0,3,4,3,6,13
60,1,1,1,4,0,1,1,1,0,5,5,4,6,15
61,1,1,1,1,0,0,1,1,0,3,4,4,18,13
62,1,1,1,1,0,0,0,1,0,5,5,5,0,12
63,1,0,1,1,2,0,1,1,0,3,3,3,0,0
64,1,0,1,1,0,1,1,1,0,3,5,5,8,18
65,1,0,4,2,0,0,0,0,1,5,3,3,0,0
66,1,0,3,2,0,0,0,0,0,5,4,5,0,0
67,0,1,1,2,1,0,0,0,1,4,4,4,0,12
68,1,1,2,4,0,0,0,1,0,2,2,2,0,0
69,0,1,2,1,2,0,1,1,0,2,3,3,8,9
70,1,1,1,1,3,0,0,1,0,5,4,5,0,0
71,1,1,1,1,0,0,0,1,1,3,3,2,0,0
72,0,1,4,1,3,0,0,1,0,4,5,5,0,10
73,0,1,1,1,3,0,0,1,1,2,3,5,0,0
74,0,1,1,1,1,0,1,0,1,4,4,4,6,14
75,1,1,1,1,3,0,0,1,1,4,5,4,0,0
76,1,0,1,2,0,1,1,0,0,4,4,4,2,8
77,0,0,1,1,0,0,0,0,0,2,2,2,8,13
78,1,0,3,1,0,0,0,0,0,4,2,2,2,15
79,1,1,1,2,1,1,0,1,1,4,5,5,4,12
80,0,0,2,1,2,0,1,1,1,3,3,2,0,0
81,1,0,2,2,2,0,0,1,1,4,4,4,6,7
82,0,1,2,1,1,0,1,0,0,4,4,4,0,0
83,1,1,1,1,0,0,0,1,0,5,3,3,2,10
84,0,0,4,2,3,0,1,0,1,5,3,5,0,7
85,1,1,2,1,1,0,1,0,0,4,5,2,16,12
86,1,1,1,2,0,0,0,1,0,4,3,5,4,10
87,1,1,3,1,2,0,1,1,0,3,4,5,0,0
88,1,1,2,2,0,1,1,1,1,4,3,2,2,16
89,0,1,1,2,0,1,1,1,0,4,4,4,0,10
90,0,1,2,2,0,1,1,1,0,4,4,4,4,9
91,1,1,1,2,0,0,1,1,0,4,3,4,4,6
92,1,0,1,1,0,0,1,1,1,4,3,3,10,9
93,1,1,1,2,0,0,1,1,1,5,2,3,4,11
94,1,1,1,2,0,1,1,1,0,3,4,3,10,8
95,1,1,1,2,0,1,1,1,1,4,2,3,2,12
96,1,1,1,2,0,0,1,1,1,4,3,4,12,11
97,1,1,1,1,0,1,1,1,1,3,3,3,2,11
98,0,1,1,2,0,1,1,1,1,4,2,3,0,15
99,1,0,1,2,0,0,0,0,0,3,1,3,4,10
100,1,1,2,2,0,1,1,1,0,4,4,4,12,8
101,1,0,1,1,0,0,1,1,0,4,3,2,8,10
102,1,1,2,1,0,0,0,1,0,5,3,3,0,14
103,1,1,1,1,0,0,0,1,0,5,2,3,4,16
104,0,0,3,1,0,1,1,1,0,3,3,4,8,10
105,0,1,1,2,0,1,0,1,1,5,3,5,13,13
106,1,1,1,2,1,1,1,1,0,4,4,4,15,8
107,0,1,1,2,1,1,0,1,0,3,2,4,13,8
108,1,1,2,2,0,1,0,1,0,3,3,3,0,13
109,0,1,1,2,0,1,0,1,0,5,3,3,2,12
110,0,1,4,2,0,1,1,1,1,4,3,2,14,9
111,1,0,2,2,0,1,1,1,0,4,5,2,4,11
112,1,1,1,2,0,0,1,1,1,4,5,5,14,9
113,1,1,1,2,0,1,1,1,0,4,2,4,2,13
114,0,1,2,2,0,1,0,1,0,3,4,2,18,6
115,1,1,2,3,0,0,1,1,1,5,3,3,10,10
116,0,1,1,2,0,1,1,1,1,4,4,2,4,13
117,1,1,1,2,1,0,0,1,0,5,5,4,0,0
118,0,1,2,2,0,0,1,1,1,2,5,5,14,12
119,0,0,2,2,0,1,0,1,0,3,3,3,2,12
120,0,1,1,1,0,0,1,1,0,5,4,5,0,0
121,1,1,1,1,0,0,1,1,0,5,3,2,0,12
122,1,1,3,1,0,0,0,1,0,4,3,3,6,18
123,1,1,2,1,0,0,0,1,0,5,2,2,4,13
124,1,1,1,1,3,0,0,1,1,5,4,5,16,8
125,0,0,1,2,1,0,0,1,1,4,3,3,8,5
126,1,1,1,1,0,1,0,1,0,4,3,2,0,15
127,1,1,2,1,1,0,0,1,0,4,4,5,0,8
128,1,1,3,2,0,0,0,1,0,5,3,3,6,10
129,1,1,1,1,1,0,0,1,0,3,2,5,4,8
130,1,0,2,1,0,0,1,0,0,3,3,2,0,8
131,1,0,1,1,0,0,0,1,0,4,4,2,0,12
132,0,1,2,1,1,0,1,1,0,4,4,4,2,8
133,0,1,1,2,0,0,0,1,0,4,3,1,12,11
134,1,1,1,2,0,0,1,1,0,5,2,4,8,14
135,1,1,1,2,0,1,0,1,0,4,3,2,2,8
136,1,0,1,3,0,0,1,0,0,5,3,2,1,12
137,0,0,2,2,0,1,1,1,0,4,2,5,13,17
138,1,1,1,2,0,1,1,1,1,5,4,4,2,10
139,1,1,1,2,0,1,1,1,1,5,4,5,10,10
140,1,0,1,2,0,1,1,0,1,3,5,2,2,14
141,1,1,2,1,0,1,1,1,0,3,2,4,22,9
142,0,1,2,1,0,1,1,1,0,4,2,3,8,10
143,0,1,2,1,0,1,1,1,1,4,5,4,30,8
144,0,1,1,1,1,0,0,1,0,4,4,4,19,10
145,1,1,1,2,0,1,0,1,0,4,3,3,2,11
146,1,1,1,3,0,1,1,1,0,4,2,4,6,14
147,0,1,1,2,0,1,1,1,0,5,4,3,9,15
148,1,1,1,2,0,1,1,1,1,4,3,2,11,11
149,0,0,2,3,0,1,1,1,0,5,4,2,8,14
150,1,1,1,1,0,1,0,1,0,4,4,3,4,11
151,0,1,1,1,0,1,0,1,1,1,4,2,5,16
152,0,1,2,1,0,1,0,1,0,4,1,1,0,10
153,1,1,1,2,1,0,1,1,1,4,4,4,20,13
154,1,1,1,1,0,0,1,0,0,5,5,3,0,18
155,1,1,2,1,1,1,0,1,1,4,3,4,38,8
156,1,0,1,2,1,0,1,0,1,4,5,3,0,12
157,1,1,1,2,1,0,0,1,0,4,5,2,3,11
158,1,1,1,3,0,0,1,1,0,4,3,3,3,11
159,1,1,1,1,0,0,1,1,0,4,3,5,3,16
160,1,0,4,1,0,0,0,1,0,4,4,5,8,10
161,0,1,1,4,0,0,1,1,0,4,5,5,2,8
162,1,1,1,2,1,0,1,1,0,4,3,3,0,0
163,0,1,1,2,0,0,1,1,1,4,3,3,11,15
164,1,0,1,3,0,0,0,1,1,5,3,2,9,16
165,1,1,1,3,0,1,0,1,1,5,4,5,0,9
166,1,0,2,1,1,0,0,1,0,2,5,5,10,13
167,1,0,3,2,3,0,0,1,0,5,4,4,8,8
168,1,1,2,2,0,1,0,1,0,4,5,4,2,13
169,0,1,1,1,1,0,0,1,1,4,3,3,7,8
170,1,0,3,1,1,0,0,1,0,4,4,4,4,8
171,1,0,2,2,0,1,1,1,1,4,5,5,4,11
172,0,1,2,1,0,0,0,1,1,3,3,2,4,10
173,0,0,2,2,1,0,1,0,0,4,4,3,2,12
174,1,0,2,2,0,1,0,0,0,3,3,4,4,10
175,0,1,2,3,0,1,0,1,1,4,2,2,0,13
176,0,0,3,1,0,1,1,1,1,4,3,3,3,12
177,1,1,1,2,0,1,1,1,0,3,2,4,4,14
178,1,0,2,1,0,0,1,1,1,4,4,3,5,7
179,1,1,2,2,0,0,1,1,0,4,4,3,2,10
180,1,0,2,1,1,0,0,0,0,4,3,2,0,0
181,1,0,2,1,1,1,0,0,0,5,4,3,14,5
182,0,1,1,2,2,1,0,0,0,5,5,4,11,9
183,0,1,2,1,0,0,0,1,0,2,4,5,3,16
184,1,0,1,1,3,0,0,0,0,5,5,3,3,7
185,0,0,3,1,0,0,0,1,0,4,4,1,0,10
186,0,1,1,1,0,0,0,1,0,3,2,3,5,9
0,1,1,2,2,0,0,0,0,0,4,3,4,6,6
1,1,1,1,2,0,0,0,1,0,5,3,3,4,6
2,0,1,1,2,3,1,0,1,0,4,3,2,10,10
3,1,1,1,3,0,1,1,1,1,3,2,2,2,15
4,1,1,1,2,0,1,0,0,0,4,3,2,4,10
5,1,1,2,2,0,0,0,0,0,4,1,4,6,6
6,1,1,1,2,0,1,0,1,0,3,3,3,0,9
7,1,1,3,3,0,0,1,1,0,5,2,2,4,12
8,1,1,1,1,0,0,0,1,0,4,4,4,4,14
9,1,1,1,3,0,1,1,1,0,3,2,3,6,14
10,1,1,3,2,0,0,1,0,0,5,3,2,4,10
11,1,0,1,3,0,1,1,1,0,4,3,2,2,8
12,1,1,1,1,2,1,0,1,0,1,2,2,14,8
13,1,1,2,1,0,0,1,0,0,3,5,1,0,6
14,1,0,1,3,0,1,1,1,0,4,3,2,2,11
15,1,0,1,1,0,1,1,0,0,4,3,1,8,13
16,0,1,2,2,1,0,1,1,1,3,3,3,25,11
17,0,1,2,2,1,0,1,1,0,4,3,3,14,9
18,0,1,1,2,0,1,1,1,1,5,2,2,8,6
19,0,1,1,2,0,0,0,1,0,2,3,5,12,11
20,1,1,1,2,1,0,1,1,0,4,4,4,2,7
21,0,1,3,2,0,1,0,1,0,4,3,3,2,13
22,0,1,1,2,0,1,0,1,0,4,3,3,2,13
23,1,1,1,1,0,1,0,1,0,3,3,4,0,11
24,0,1,1,1,0,1,0,1,0,5,3,4,6,13
25,1,1,1,2,0,1,1,1,1,5,3,4,8,10
26,1,1,1,2,0,1,1,1,0,4,3,2,0,15
27,1,1,1,2,0,0,0,1,0,4,2,3,2,16
28,1,0,1,2,0,0,1,0,0,2,4,4,6,11
29,1,1,4,1,0,0,1,1,1,5,5,5,6,11
30,0,1,1,2,0,0,1,1,0,4,4,3,4,9
31,1,1,1,3,0,1,1,1,0,3,4,4,2,9
32,0,1,1,2,0,0,1,1,1,4,4,4,0,10
33,0,1,3,2,0,0,1,1,0,5,4,3,2,15
34,1,1,1,4,0,1,0,1,0,4,3,3,4,6
35,0,0,2,2,0,1,0,1,0,4,1,3,2,8
36,0,0,2,4,0,0,0,1,0,4,4,2,12,16
37,1,0,1,2,2,0,0,1,1,3,3,4,2,5
38,1,1,1,2,0,1,1,1,0,4,3,3,54,11
39,1,1,1,4,0,1,0,1,1,5,2,3,0,11
40,1,1,1,2,0,0,0,1,0,2,4,3,12,5
41,0,1,1,2,0,1,0,1,0,4,4,4,10,6
42,1,1,1,2,0,0,1,1,0,4,3,2,2,10
43,1,1,2,2,2,1,0,1,1,4,4,4,6,8
44,0,1,1,2,0,0,0,0,0,4,3,4,4,6
45,1,1,1,3,0,0,1,1,0,5,3,3,4,14
46,1,1,1,3,0,1,0,1,1,4,3,3,0,8
47,1,1,1,1,0,1,1,1,0,4,5,5,4,18
48,0,1,1,2,0,0,0,0,0,3,3,3,4,6
49,1,1,2,2,0,1,1,1,0,5,3,3,0,10
50,1,0,2,4,1,1,1,1,0,3,1,2,2,10
51,1,1,1,2,0,1,0,0,1,4,3,5,2,10
52,1,1,1,1,0,0,1,1,0,5,3,4,6,14
53,1,1,1,3,0,1,0,1,0,5,3,5,0,8
54,1,1,2,2,0,1,0,1,0,4,3,5,26,6
55,1,1,1,4,0,0,0,0,0,4,3,3,10,11
56,1,1,1,4,0,1,0,1,0,5,1,2,8,8
57,0,1,1,3,0,1,1,1,1,5,4,5,4,16
58,1,0,1,3,1,0,1,1,0,4,1,2,0,10
59,1,1,1,2,1,0,1,1,0,3,1,2,6,13
60,1,1,1,2,0,0,0,1,0,3,2,3,2,15
61,0,1,2,2,0,1,1,1,1,4,2,2,2,13
62,1,1,1,2,0,1,0,1,1,5,4,4,0,8
63,0,1,1,2,0,0,1,1,1,5,3,2,0,11
64,1,1,1,2,3,0,0,0,0,3,4,2,2,9
65,1,0,2,3,2,0,0,1,1,4,2,2,0,0
66,1,1,3,1,0,0,1,1,1,4,3,3,0,0
67,0,1,1,1,0,0,0,1,1,3,4,4,12,12
68,1,1,1,1,0,0,0,1,0,3,2,1,16,11
69,1,1,1,3,0,0,1,1,1,4,3,3,0,0
70,1,1,2,1,2,0,1,1,1,4,3,2,0,0
71,1,1,2,1,0,0,1,1,0,4,3,2,0,15
72,1,1,1,3,0,1,1,1,0,4,2,2,2,11
73,0,1,1,1,0,0,0,1,0,3,4,4,2,13
74,1,1,1,2,0,1,0,1,0,4,4,2,0,11
75,1,1,1,2,3,0,0,1,0,3,3,2,0,0
76,1,1,1,2,0,1,0,1,0,4,3,2,2,11
77,1,0,2,3,2,1,1,1,1,4,2,1,8,10
78,1,1,1,1,0,0,0,0,1,4,2,1,0,12
79,1,0,3,1,3,0,1,0,0,5,2,5,6,10
80,1,1,1,2,0,1,0,1,1,4,2,3,0,16
81,1,1,1,2,0,1,0,1,0,5,1,5,0,0
82,1,1,1,2,0,1,0,1,1,4,4,2,0,14
83,1,1,1,2,3,0,1,1,1,4,3,5,0,0
84,0,1,2,2,0,1,1,1,0,4,4,5,4,9
85,1,1,2,2,0,1,1,1,0,3,4,4,2,11
86,1,1,1,2,0,0,1,0,0,5,4,2,0,17
87,0,1,1,2,0,0,1,1,1,5,3,3,56,8
88,1,1,1,2,0,1,0,1,0,1,2,2,14,12
89,1,1,1,2,0,0,0,1,1,3,3,3,6,9
90,1,1,1,2,0,0,0,1,0,4,3,3,10,13
91,1,1,1,2,0,0,1,1,0,5,3,3,0,9
92,0,1,1,2,0,0,1,1,1,4,3,2,0,15
93,1,1,2,1,1,0,0,1,0,4,2,4,24,18
94,0,1,1,2,0,1,0,1,0,4,5,2,0,10
95,1,1,1,2,0,0,1,1,0,4,3,5,2,16
96,1,1,1,2,0,1,1,0,0,4,4,3,6,10
97,1,1,1,2,0,1,0,0,0,4,4,4,4,10
98,1,0,1,1,0,0,0,1,0,5,3,2,18,6
99,1,0,2,4,0,1,1,1,0,5,3,5,6,11
100,1,1,1,3,1,1,0,1,1,4,4,3,28,9
101,1,1,1,2,3,1,0,1,0,2,3,3,5,7
102,1,1,1,2,0,1,1,1,1,1,3,2,10,13
103,1,1,2,1,0,1,0,0,0,4,3,2,6,10
104,1,0,2,3,0,1,1,1,1,4,4,2,6,7
105,1,1,1,4,0,1,1,1,0,4,3,3,10,8
106,1,1,1,2,0,1,0,1,0,3,3,4,0,14
107,0,0,1,1,0,1,0,0,0,5,2,1,12,10
108,0,1,2,2,0,1,0,1,0,4,4,4,2,15
109,1,1,1,2,2,1,0,1,1,3,4,5,22,4
110,1,1,2,1,0,1,0,0,0,3,3,3,3,8
111,1,1,1,3,0,1,1,1,0,4,3,3,4,10
112,1,0,2,2,0,0,1,1,0,4,2,5,2,6
113,1,1,1,3,1,0,1,0,1,4,3,4,0,0
114,1,1,1,2,0,0,0,1,0,2,3,1,2,17
115,1,1,1,3,0,0,1,1,0,5,3,2,0,14
116,1,0,1,2,1,0,1,1,1,5,3,3,16,7
117,1,1,1,2,0,0,1,1,0,5,3,4,10,15
118,1,1,2,3,0,0,1,1,1,3,2,3,10,12
119,0,1,1,2,0,0,1,1,1,3,2,3,14,14
120,1,1,1,1,0,0,0,1,1,4,5,2,20,12
121,1,0,3,2,0,0,1,0,0,2,1,1,2,11
122,1,1,2,3,0,1,0,1,1,4,4,4,0,0
123,0,1,1,4,0,1,1,1,0,4,2,3,6,13
124,0,1,1,4,0,1,1,1,1,3,4,1,0,0
125,1,1,1,2,0,1,0,1,1,3,1,2,21,18
126,1,1,1,3,0,0,1,0,0,3,2,3,4,9
127,1,1,1,3,0,1,1,1,1,4,3,3,0,0
128,1,0,2,2,0,1,1,1,0,4,3,4,8,11
129,1,0,2,2,0,0,0,1,1,4,3,5,0,0
130,1,1,1,2,2,1,1,1,0,4,3,5,15,9
131,1,1,1,4,0,1,1,1,1,4,5,5,4,14
132,0,1,2,2,0,1,0,0,0,4,4,3,2,11
133,1,1,2,2,0,1,0,1,1,4,3,3,2,10
134,0,1,2,2,0,1,0,1,1,4,4,4,6,12
135,1,0,2,2,0,0,0,1,1,4,1,1,75,9
136,1,1,1,2,1,0,1,1,1,2,4,4,15,8
137,0,0,2,4,0,1,1,0,0,5,2,2,1,12
138,1,1,2,2,0,0,1,1,0,5,4,4,4,10
139,1,1,1,2,0,0,0,1,0,5,4,5,4,11
140,1,1,1,3,0,1,0,1,0,4,3,3,5,19
141,1,1,1,3,0,1,0,1,0,4,3,3,6,12
142,1,1,1,3,0,1,0,1,0,4,2,2,0,15
143,0,1,1,2,1,0,0,1,1,5,4,3,12,13
144,0,0,2,4,0,1,0,0,0,3,1,2,6,18
145,1,1,2,2,0,1,1,1,0,2,3,4,0,0
146,0,1,2,2,0,1,0,1,1,4,4,5,10,8
147,1,1,1,4,0,1,0,1,0,4,3,3,0,14
148,0,1,1,2,0,0,0,1,1,4,2,4,14,11
149,1,1,2,3,0,1,0,1,0,4,3,3,0,14
150,1,1,1,4,0,1,1,1,0,5,2,2,0,18
151,1,1,1,2,1,1,1,1,0,4,4,3,8,12
152,0,1,1,2,1,0,1,1,0,4,4,3,18,10
153,0,1,1,2,1,0,1,0,1,4,2,4,0,0
154,1,1,3,2,0,0,0,1,1,3,4,1,20,13
155,0,1,2,2,1,1,0,1,1,4,2,2,22,11
156,1,1,1,3,2,0,0,1,1,4,1,2,14,13
157,1,0,1,3,1,0,0,1,1,4,1,2,40,11
158,1,1,2,2,0,1,1,1,0,5,3,3,0,0
159,1,1,1,3,0,1,1,1,1,4,3,4,9,9
160,1,0,1,3,0,1,1,1,0,4,3,4,0,10
161,1,1,1,2,0,1,0,1,0,4,4,4,2,11
162,1,1,1,2,0,1,0,1,1,5,2,2,23,13
163,1,1,1,2,0,0,0,0,1,4,2,2,12,9
164,0,0,1,3,0,1,1,1,0,3,3,2,3,11
165,1,1,1,3,0,0,0,1,0,3,4,3,1,15
166,0,1,2,3,0,0,0,1,0,3,3,3,0,15
167,1,1,1,3,0,1,1,1,0,5,4,4,7,9
168,1,1,2,3,0,1,0,1,1,4,3,3,4,14
169,1,0,1,3,0,0,0,1,1,4,4,3,7,14
170,1,1,1,2,0,0,1,1,0,5,3,4,0,0
171,0,1,1,2,0,0,1,1,1,4,3,3,0,0
172,1,0,2,4,0,0,1,0,0,4,4,4,0,0
173,1,1,1,3,0,0,0,1,0,4,4,5,16,15
174,1,0,1,3,1,1,0,0,0,5,4,3,12,13
175,1,1,1,2,0,1,0,1,1,4,3,2,0,0
176,0,1,1,4,0,0,0,1,0,5,3,3,7,17
177,1,0,1,2,0,1,0,1,0,4,3,3,4,10
178,1,1,1,3,1,1,1,1,1,4,3,4,4,11
179,1,1,1,2,1,0,0,1,1,3,3,1,0,0
180,1,1,1,3,0,0,0,1,0,4,3,3,4,10
181,1,1,1,3,0,0,0,1,1,5,4,3,7,14
182,1,1,1,3,0,1,1,1,1,4,4,3,0,15
183,1,1,1,2,0,0,0,0,1,5,3,4,0,9
184,1,0,2,2,0,1,1,1,0,4,3,3,4,13
185,0,1,2,2,0,0,0,0,1,1,2,3,2,11
186,0,1,2,3,0,0,0,1,0,5,3,2,0,16
187,0,0,3,2,0,0,0,0,1,4,3,4,0,13
188,1,1,2,2,0,0,0,1,1,4,3,2,0,10
189,0,1,1,2,0,1,1,1,1,2,3,4,0,15
190,1,0,2,2,0,0,0,0,0,3,2,2,0,12
191,1,0,3,1,1,1,0,1,1,5,2,1,0,0
192,1,1,2,1,0,1,0,1,1,5,2,3,0,10
193,1,0,3,2,0,1,0,1,1,3,2,2,10,11
194,0,1,2,2,2,0,1,0,1,3,2,2,4,9
195,1,1,1,3,0,0,1,0,1,3,4,3,8,11
196,1,0,1,1,0,0,1,1,0,3,5,5,14,5
197,0,0,2,3,0,0,0,1,0,5,4,4,0,19
198,1,0,4,3,0,0,0,1,0,4,3,2,2,10
199,1,1,2,3,2,1,0,1,1,5,4,3,4,15
200,0,0,1,2,0,1,1,1,0,5,4,3,4,10
201,1,1,1,2,0,1,0,1,1,4,1,3,0,15
202,1,0,1,2,0,1,1,1,0,4,5,4,17,10
203,1,0,2,3,0,1,0,0,0,5,3,3,2,10
204,1,0,3,1,0,1,1,1,1,4,4,3,7,6
205,1,0,1,3,1,0,1,1,0,5,4,2,0,0
206,0,1,1,2,0,1,0,1,0,4,3,4,0,8
207,1,1,2,2,1,0,1,0,0,1,1,1,0,0
