carat,cut,color,clarity,depth,table,price,x,y,z
0.5,Premium,I,SI1,61.7,58,1059,5.15,5.09,3.16
0.74,Premium,F,SI2,59.6,58,2328,5.91,5.87,3.51
1.5,Very Good,H,VS1,63.4,59,10652,7.13,7.2,4.54
1.01,Premium,I,SI1,61.8,58,4072,6.45,6.37,3.96
0.33,Very Good,E,VS2,61.9,58,627,4.42,4.47,2.75
0.71,Ideal,H,VVS1,62,57,2739,5.71,5.75,3.55
1.01,Good,F,SI1,60.5,64,4989,6.48,6.45,3.91
1.21,Very Good,J,VS1,59.3,57,5604,6.98,7.04,4.16
0.71,Ideal,G,SI1,61.7,56,2518,5.74,5.77,3.55
0.31,Premium,E,VS2,60.3,58,872,4.42,4.37,2.65
1.74,Good,H,SI1,60.6,62,12032,7.74,7.8,4.71
0.63,Premium,H,VS1,62.9,60,1921,5.45,5.33,3.39
2,Fair,F,SI2,70.2,57,15351,7.63,7.59,5.34
0.39,Ideal,E,VS2,60.5,56,839,4.75,4.77,2.88
2.56,Good,J,SI2,63.6,62,15231,8.62,8.57,5.47
0.56,Very Good,F,VS2,60,57,1627,5.34,5.39,3.22
0.33,Ideal,G,VVS1,61.8,59,802,4.45,4.48,2.76
2.03,Very Good,G,SI1,60.1,60,18630,8.09,8.18,4.89
1.01,Fair,E,SI1,69.5,55,4853,6,5.94,4.15
0.3,Ideal,H,VS1,62.5,56,526,4.24,4.27,2.66
0.35,Premium,D,SI1,61,60,644,4.54,4.58,2.78
0.66,Ideal,E,SI2,61.9,55,1560,5.61,5.64,3.48
0.51,Ideal,E,SI1,62.2,57,1546,5.12,5.08,3.17
1.01,Ideal,E,SI1,61.6,57,5206,6.44,6.49,3.98
0.5,Good,E,VVS1,58.3,62,2008,5.16,5.23,3.03
2.11,Premium,H,SI2,60.9,59,12633,8.3,8.25,5.04
0.41,Ideal,F,VS1,62.3,55,1007,4.77,4.79,2.98
0.3,Very Good,D,SI1,62.1,58,552,4.25,4.28,2.65
0.95,Good,E,VS2,57.7,58,5272,6.47,6.52,3.75
1.51,Premium,H,VS1,61,60,11161,7.29,7.34,4.46
0.77,Very Good,E,VS1,59.4,61,3488,5.98,5.94,3.54
1.01,Very Good,H,VS2,62.8,59,5559,6.33,6.38,3.99
1.5,Very Good,J,VVS2,61.5,60,8712,7.27,7.31,4.48
0.54,Ideal,G,VVS2,60.6,56,2090,5.27,5.26,3.19
1.2,Very Good,G,SI2,62,60,5698,6.78,6.76,4.2
1.02,Ideal,I,SI1,62,56,4738,6.44,6.46,4
0.41,Very Good,F,VVS1,61.4,58,1122,4.76,4.78,2.93
0.81,Premium,I,VVS2,62.9,59,3084,5.95,5.84,3.71
0.97,Ideal,F,SI1,61.7,56,3884,6.37,6.32,3.92
1.23,Ideal,H,VVS2,62,55,8079,6.85,6.9,4.26
0.57,Ideal,G,VS2,61.8,56,1608,5.3,5.35,3.29
0.91,Premium,F,SI2,58.2,61,3746,6.58,6.41,3.77
1.01,Premium,G,VVS2,61.9,59,7964,6.45,6.41,3.98
0.36,Ideal,D,VS2,60,56,727,4.66,4.68,2.8
0.92,Fair,H,SI2,66.1,57,2283,6.22,6,4.05
1,Good,F,VVS2,60.7,62,8079,6.36,6.4,3.87
0.5,Very Good,E,SI1,63.7,58,1293,5.02,5.06,3.21
1.2,Premium,F,I1,62.9,58,2360,6.86,6.79,4.29
0.34,Premium,D,SI1,62,56,803,4.47,4.43,2.76
0.92,Premium,H,VS2,61.3,58,4077,6.21,6.26,3.82
2.01,Very Good,E,SI1,60.8,59,16956,8.14,8.2,4.97
1.16,Ideal,D,VS1,61.2,58,10241,6.73,6.76,4.13
1.21,Very Good,D,SI2,62.4,58,6248,6.77,6.83,4.24
1.51,Very Good,G,VVS2,62.6,59,15110,7.26,7.3,4.56
0.91,Premium,D,SI2,62.4,56,3949,6.2,6.17,3.86
1.21,Premium,H,SI1,60.5,60,4743,6.81,6.72,4.09
2.19,Premium,J,SI2,61.8,60,13355,8.35,8.25,5.13
0.31,Ideal,F,VVS1,61.9,53.5,882,4.36,4.39,2.71
1.05,Very Good,E,SI1,62.2,56,5494,6.49,6.56,4.06
0.91,Very Good,H,VS2,62.8,58,4201,6.15,6.17,3.87
1.72,Very Good,F,SI1,63.2,61,13622,7.62,7.57,4.8
1.23,Ideal,H,VS2,61.7,56,7687,6.92,6.88,4.26
0.46,Fair,I,VS2,66.8,55,855,4.82,4.77,3.2
1.24,Premium,I,VS2,60.1,59,5889,7.02,6.95,4.2
1,Good,H,SI1,63.8,53,4596,6.39,6.27,4.04
0.41,Premium,G,VVS1,59.9,59,1151,4.79,4.83,2.88
0.7,Ideal,I,VVS1,61.8,56,2492,5.72,5.74,3.54
0.7,Ideal,H,VS2,61.2,57,3145,5.73,5.77,3.52
1.54,Ideal,E,VS2,62,56,14529,7.46,7.43,4.61
0.36,Ideal,F,SI1,60.1,56,770,4.67,4.62,2.79
1.02,Ideal,F,VS2,62,56,7326,6.42,6.45,3.99
0.3,Ideal,E,VS2,62.2,57,622,4.26,4.32,2.67
0.32,Ideal,G,IF,62.2,53,918,4.41,4.43,2.75
0.4,Ideal,H,SI1,61.3,57,705,4.77,4.79,2.93
0.32,Very Good,F,VS2,63.2,58,828,4.35,4.32,2.74
0.31,Good,G,VVS1,58,62,761,4.42,4.47,2.58
0.31,Ideal,F,VS2,62.3,55,802,4.37,4.33,2.71
1.1,Good,I,SI1,63.7,59,4497,6.56,6.5,4.16
1.26,Premium,D,SI2,61.9,58,5412,6.88,6.81,4.24
0.27,Very Good,E,VVS1,62.4,55,591,4.18,4.22,2.62
1.01,Premium,H,SI1,60.7,58,4771,6.49,6.45,3.93
1.16,Premium,H,SI2,61.8,58,4872,6.81,6.75,4.19
2.03,Fair,F,SI1,65.4,58,16280,7.9,7.84,5.15
1.59,Premium,E,SI2,62.3,58,6010,7.42,7.37,4.61
1.56,Fair,I,SI1,64.6,62,7950,7.26,7.23,4.68
1,Ideal,D,SI1,61.7,57,5489,6.39,6.42,3.95
1.26,Ideal,G,SI1,61.3,57,7230,6.94,6.99,4.27
1.15,Premium,E,SI2,61.8,56,4701,6.75,6.7,4.15
1.32,Very Good,H,SI1,62.3,58,7389,6.96,7,4.35
1.3,Ideal,I,VS2,61.7,56,6714,7.07,7.02,4.35
1.05,Very Good,H,VS1,59.5,56,6132,6.62,6.68,3.96
1.17,Premium,F,SI2,59.6,60,4324,6.88,6.85,4.09
0.5,Ideal,F,SI1,62.7,57,1378,5.09,5.06,3.18
1,Good,E,VS2,64.1,54,6315,6.26,6.31,4.03
0.31,Ideal,H,VS2,62.6,57,628,4.35,4.31,2.71
0.5,Good,F,VS2,64,57,1323,5.08,5.04,3.23
0.31,Ideal,F,IF,62.2,56,1046,4.34,4.31,2.69
0.54,Ideal,G,VS1,62,56,1847,5.24,5.21,3.24
1.62,Premium,J,SI2,61.8,59,5157,7.48,7.44,4.61
1.32,Very Good,G,SI2,62.9,57,6294,6.94,6.98,4.38
1.5,Very Good,F,I1,63.2,57,6028,7.29,7.24,4.59
1.2,Premium,E,VVS1,60.2,60,13321,6.84,6.97,4.16
1.16,Premium,I,SI2,62.1,58,4326,6.78,6.71,4.19
0.4,Good,J,VS2,64,57,591,4.67,4.7,3
0.3,Ideal,G,SI1,61.2,56,487,4.33,4.36,2.65
0.41,Very Good,E,SI1,62.9,57,755,4.73,4.78,2.99
1.01,Premium,F,SI2,62.6,60,4416,6.35,6.37,3.98
0.71,Premium,G,VS2,60.3,60,2671,5.76,5.81,3.49
0.4,Very Good,D,SI1,63.3,57,924,4.71,4.68,2.97
0.51,Ideal,E,VVS2,60.7,58,2545,5.19,5.17,3.14
1.37,Ideal,J,SI1,62.1,55,6339,7.13,7.16,4.44
1.11,Ideal,H,VS2,64,58,5632,6.52,6.46,4.16
0.4,Good,D,SI1,60.3,61,667,4.74,4.78,2.87
1.11,Ideal,E,SI2,60.6,56,5962,6.76,6.78,4.1
0.51,Very Good,D,VS1,62.2,59,1959,5.1,5.13,3.18
1,Very Good,H,SI2,63.3,57,4200,6.37,6.3,4.01
1.2,Premium,I,VS2,62.1,59,5474,6.77,6.72,4.19
1,Good,D,SI2,57.8,58,4218,6.55,6.61,3.8
1.05,Premium,F,SI1,60.3,60,5557,6.66,6.54,3.98
1.32,Very Good,F,VVS2,61.6,61,12736,6.97,7.02,4.31
0.3,Premium,G,VVS1,62.4,57,1013,4.29,4.27,2.67
0.72,Ideal,F,SI2,61.6,57,2074,5.75,5.68,3.52
0.72,Ideal,D,SI2,60.5,57,3176,5.82,5.89,3.54
0.52,Ideal,G,SI2,62.1,56,1210,5.13,5.18,3.2
2.28,Very Good,H,SI2,63.3,54,12907,8.36,8.29,5.27
0.25,Very Good,I,VVS2,62.1,56,500,4.03,4.05,2.51
1.52,Fair,H,VS2,62.1,66,8674,7.33,7.13,4.5
0.53,Ideal,F,SI1,61.9,55,1639,5.19,5.21,3.22
0.42,Very Good,E,SI1,62.5,55,773,4.8,4.83,3.01
0.35,Very Good,G,VVS1,61.2,57,842,4.55,4.58,2.79
0.42,Premium,H,VS1,61.2,60,847,4.77,4.84,2.94
1.03,Premium,F,SI1,61.5,57,5087,6.53,6.44,3.99
1.4,Ideal,J,SI1,62.1,57,6350,7.17,7.14,4.44
1.18,Ideal,I,SI2,62.2,57,4838,6.73,6.76,4.2
1.19,Ideal,H,SI2,62,57,4914,6.77,6.81,4.21
0.52,Very Good,G,SI2,63,55,1049,5.12,5.14,3.23
0.52,Very Good,E,SI1,62.8,56,1389,5.13,5.15,3.23
0.9,Premium,G,SI1,62.9,58,3774,6.11,6.02,3.82
0.4,Premium,E,SI2,61.4,59,666,4.7,4.75,2.9
1.15,Very Good,E,SI2,60,59,5257,6.78,6.82,4.08
1,Good,G,VS2,63.1,61,5702,6.33,6.38,4.01
1.02,Very Good,E,SI2,63.3,58,4540,6.31,6.4,4.02
1.01,Very Good,F,VS2,62,60,8330,6.36,6.39,3.95
1.11,Very Good,E,SI2,61.7,63,4102,6.54,6.65,4.07
0.58,Ideal,I,VVS1,62.1,56,1680,5.32,5.34,3.31
1.53,Ideal,I,VS2,62.2,57,9596,7.39,7.33,4.58
2.14,Premium,G,SI2,60.4,59,17673,8.38,8.32,5.04
0.73,Premium,E,SI2,60.8,60,2409,5.87,5.78,3.54
1.01,Good,F,SI1,62.4,59,4619,6.3,6.42,3.97
0.53,Ideal,H,VS2,61.4,56,2031,5.2,5.23,3.2
0.38,Ideal,E,VS1,61.6,56,1000,4.62,4.66,2.86
1.59,Very Good,G,SI1,59.5,61,10963,7.57,7.65,4.53
0.53,Ideal,F,VS1,61.5,56,1856,5.26,5.22,3.22
1.47,Very Good,J,VS2,62.5,59,6763,7.18,7.23,4.5
0.7,Ideal,F,SI1,60.7,57,2833,5.73,5.75,3.49
0.32,Ideal,G,VS1,62.3,54,828,4.39,4.37,2.73
0.27,Very Good,F,VVS2,61.3,57,682,4.14,4.18,2.54
0.7,Very Good,E,VS2,62.4,60,2755,5.57,5.61,3.49
1.53,Premium,I,SI1,60.8,59,8911,7.54,7.49,4.57
0.7,Fair,E,SI2,65,54,2600,5.56,5.52,3.6
0.36,Very Good,G,VVS2,61.9,58,821,4.54,4.6,2.83
0.91,Very Good,I,VS2,62.5,58,3579,6.13,6.19,3.85
0.92,Premium,H,SI2,60.4,59,3174,6.36,6.33,3.83
0.79,Ideal,I,SI1,60.5,58,2539,5.97,5.99,3.62
1,Good,E,SI1,59.8,65,4213,6.56,6.45,3.89
0.32,Ideal,E,VS2,62.1,55,768,4.43,4.4,2.74
1.18,Ideal,H,SI2,61.2,57,5182,6.81,6.86,4.18
0.5,Ideal,I,VS2,61.6,54,1220,5.11,5.14,3.16
1.3,Very Good,E,VVS2,60.5,58,13725,7.05,7.11,4.28
0.24,Ideal,G,VVS1,62,55,559,4.01,4.03,2.49
1.22,Very Good,E,SI1,63.4,56,5397,6.79,6.76,4.29
1.01,Premium,G,SI1,63,60,4118,6.34,6.3,3.98
0.27,Very Good,D,VVS1,61,61,544,4.14,4.15,2.53
0.31,Good,G,VS1,63.7,56,802,4.3,4.27,2.73
0.21,Premium,E,VS2,60.5,59,386,3.87,3.83,2.33
2.02,Ideal,G,VS2,62,57,18700,8.1,8.05,5.01
0.53,Premium,J,VS2,60.9,59,1122,5.27,5.2,3.19
0.3,Ideal,D,SI1,62.1,57,524,4.25,4.28,2.65
0.39,Ideal,F,SI1,60.1,58,697,4.74,4.78,2.86
0.42,Ideal,I,VS1,62,55,773,4.83,4.85,3
0.3,Ideal,D,SI1,62.2,55,709,4.33,4.29,2.68
0.55,Ideal,E,SI1,62.1,55,1551,5.21,5.26,3.25
0.31,Ideal,F,VS2,61.5,56,802,4.37,4.34,2.68
0.26,Very Good,H,VVS2,60.5,56,486,4.13,4.16,2.51
1.5,Very Good,H,SI2,62.1,59,7365,7.24,7.28,4.51
1,Good,E,VS1,63.6,59,7260,6.32,6.35,4.03
1.03,Ideal,F,VS2,62.4,56,6751,6.48,6.43,4.03
0.56,Ideal,D,VS2,62.2,56,1963,5.24,5.28,3.27
0.5,Ideal,G,SI1,62.1,56,1286,5.09,5.05,3.15
0.31,Very Good,H,VVS1,61.9,58,707,4.32,4.34,2.68
1.51,Premium,H,SI2,63,59,7321,7.26,7.16,4.54
0.7,Premium,E,SI1,61.8,59,2396,5.63,5.57,3.46
1.21,Good,G,VS1,63.7,57,6025,6.73,6.67,4.27
0.7,Good,H,VVS2,58.9,61.5,2699,5.77,5.84,3.42
0.71,Ideal,I,SI1,62.5,57,2218,5.69,5.74,3.57
0.34,Very Good,G,VS1,62.2,55,640,4.48,4.52,2.8
0.34,Ideal,H,VS2,62.6,54,537,4.45,4.5,2.8
0.31,Ideal,G,IF,62.1,54,891,4.35,4.38,2.71
0.46,Premium,D,VVS1,60,59,1898,5,5.04,3.01
1.26,Very Good,G,VVS2,60.9,56,10020,6.95,7.01,4.25
0.41,Ideal,F,VS1,62.3,55,1007,4.77,4.79,2.98
0.31,Ideal,E,VS2,61.9,55,872,4.39,4.34,2.7
0.31,Ideal,H,VS2,62.2,55,628,4.39,4.35,2.72
0.32,Ideal,G,VS1,62.3,55,559,4.39,4.41,2.74
0.4,Premium,F,SI1,62.3,60,737,4.7,4.74,2.94
0.32,Very Good,E,VS2,62,54,702,4.37,4.41,2.72
0.3,Ideal,E,VS2,62,55,844,4.3,4.25,2.65
0.3,Ideal,F,VS2,60.5,58,573,4.3,4.36,2.62
0.41,Ideal,F,VVS2,61.9,55,1115,4.74,4.79,2.95
1.04,Ideal,H,SI2,62.1,56,4484,6.5,6.48,4.03
0.39,Ideal,G,VS1,61.8,55,802,4.72,4.76,2.93
0.3,Ideal,E,VVS1,61.5,58,838,4.28,4.31,2.64
0.71,Very Good,G,SI1,62.3,57,2104,5.7,5.76,3.57
0.3,Very Good,G,VS1,63.4,55,725,4.32,4.26,2.72
0.42,Premium,D,SI1,61.1,60,1040,4.83,4.79,2.94
1.6,Fair,F,SI2,65,56,6272,7.35,7.26,4.8
0.26,Ideal,H,IF,61.2,57,545,4.13,4.16,2.53
0.61,Ideal,I,VVS1,61.9,56,2048,5.41,5.45,3.36
1.09,Ideal,E,VS2,61.2,56,7443,6.62,6.67,4.07
1.03,Ideal,F,I1,61.1,55,3444,6.51,6.54,3.99
0.4,Ideal,E,SI1,62.2,54,1074,4.76,4.72,2.95
0.65,Ideal,H,SI1,61.5,55,1908,5.59,5.63,3.45
0.7,Ideal,F,VVS1,62.4,55,4341,5.65,5.69,3.54
1.5,Very Good,E,VS1,59.5,61,16988,7.43,7.46,4.43
0.6,Ideal,G,VS1,61.1,57,2147,5.41,5.45,3.32
1.74,Ideal,H,VS2,61.5,55,13761,7.79,7.73,4.77
1,Premium,F,SI1,61.2,58,5197,6.4,6.44,3.93
0.54,Very Good,G,SI1,60.3,57,1292,5.24,5.4,3.21
0.35,Ideal,G,VS1,62.6,54,706,4.52,4.56,2.84
1.51,Fair,I,VS2,64.8,60,8879,7.18,7.1,4.63
0.72,Very Good,J,SI1,62.7,56,1666,5.66,5.72,3.57
1.01,Very Good,E,VS2,60.4,58,6522,6.47,6.6,3.95
1.01,Ideal,G,IF,62.2,61,8957,6.34,6.4,3.96
1.09,Premium,H,SI2,59.6,61,4761,6.69,6.63,3.97
0.3,Premium,D,VS2,61.7,58,710,4.3,4.32,2.66
0.75,Very Good,F,SI1,62.1,57,2500,5.82,5.88,3.63
0.27,Good,E,VVS1,63.9,57,752,4.1,4.07,2.61
0.23,Very Good,E,VVS1,60.2,59,478,3.97,4.01,2.4
1.6,Premium,F,SI2,58.7,58,10286,7.76,7.68,4.53
0.73,Ideal,F,VVS2,61.9,55.2,3888,5.74,5.79,3.58
0.59,Ideal,J,VS2,60.8,57,1352,5.47,5.42,3.31
0.73,Ideal,G,VVS2,61.3,57,2843,5.81,5.84,3.57
1.01,Very Good,G,VS2,63.1,59,6108,6.4,6.37,4.03
0.76,Very Good,F,SI2,62.7,55,2469,5.74,5.83,3.63
1.01,Very Good,G,IF,61.1,56,9063,6.45,6.48,3.95
0.52,Very Good,D,VVS2,59.8,55,2426,5.28,5.35,3.18
0.73,Very Good,F,SI1,61.6,62,2326,5.71,5.76,3.53
0.38,Ideal,G,VVS1,61.6,57,1140,4.73,4.65,2.89
1.52,Ideal,E,VS2,62.2,57,15239,7.34,7.38,4.58
0.61,Ideal,G,SI2,60.5,56,1306,5.49,5.59,3.35
1.07,Very Good,D,SI1,61.8,61,5767,6.54,6.57,4.05
1.07,Ideal,E,SI2,61.2,56,4799,6.63,6.66,4.07
1.09,Premium,D,SI2,62.8,56,4538,6.49,6.45,4.06
4.01,Premium,I,I1,61,61,15223,10.14,10.1,6.17
2.06,Very Good,J,VS2,62.6,58,14119,8.05,8.08,5.05
1.05,Ideal,G,VS1,61.3,57,7027,6.51,6.58,4.01
1.41,Premium,I,SI2,62.9,59,6751,7.14,7.08,4.47
1.01,Premium,D,SI1,59.8,54,5147,6.6,6.5,3.93
0.56,Ideal,G,VVS2,62.6,53,2148,5.27,5.31,3.31
0.34,Ideal,H,IF,61.9,53,863,4.5,4.52,2.79
0.32,Good,D,SI1,63.8,56,756,4.35,4.33,2.77
2,Good,E,SI2,57.7,61,17760,8.31,8.19,4.76
0.32,Ideal,H,IF,61.4,55,814,4.42,4.47,2.73
0.76,Ideal,G,VS1,59.4,57,2972,5.99,6.03,3.57
0.55,Ideal,I,SI1,61.4,54,1076,5.3,5.35,3.27
1.01,Good,G,SI1,62.8,58,4641,6.36,6.29,3.97
1.02,Ideal,G,VS2,61.4,55,6499,6.48,6.51,3.99
1.23,Very Good,G,VVS2,62.2,57,9999,6.8,6.87,4.25
1.23,Ideal,H,VVS2,62,55,8079,6.85,6.9,4.26
0.32,Ideal,I,VS2,63,57,576,4.37,4.33,2.74
1,Very Good,H,SI2,63.7,58,4395,6.31,6.35,4.03
0.54,Very Good,E,SI2,62.4,57.7,1278,5.19,5.2,3.25
1,Premium,I,VS1,60.6,58,4077,6.47,6.4,3.9
1.2,Very Good,I,VS2,62.1,60,5986,6.78,6.72,4.19
0.53,Ideal,G,VS2,60.4,57,1607,5.27,5.23,3.17
1.01,Premium,G,SI2,62.4,58,4362,6.38,6.41,3.99
1.04,Very Good,G,VS2,61.9,57,6177,6.46,6.5,4.01
1.01,Premium,G,SI1,63,58,4525,6.35,6.29,3.98
1.21,Premium,F,SI2,61.5,57,4740,6.93,6.88,4.25
0.67,Ideal,H,SI1,62.1,54,1550,5.61,5.66,3.5
0.3,Ideal,D,SI1,62.5,57,709,4.28,4.26,2.67
0.3,Good,E,VVS1,61.5,62,702,4.28,4.34,2.65
0.31,Premium,G,VS1,61.2,60,802,4.33,4.3,2.64
0.76,Ideal,F,VS1,62.2,56,3680,5.83,5.87,3.64
0.35,Very Good,F,SI1,61,55,590,4.6,4.63,2.81
1.01,Very Good,D,IF,63.3,55,12581,6.36,6.28,4
1.7,Ideal,H,VS2,62.4,57,13681,7.61,7.56,4.73
0.27,Ideal,H,VVS2,61.9,55,496,4.14,4.16,2.57
1.01,Very Good,D,SI1,63.6,59,6270,6.33,6.37,4.04
0.59,Good,E,VS2,61.3,62,1845,5.36,5.4,3.3
0.28,Ideal,I,VS1,62.5,54,448,4.18,4.23,2.63
0.54,Ideal,H,VS1,61.5,56,1381,5.22,5.25,3.22
1.28,Very Good,I,VS1,62.8,57,6726,6.9,6.95,4.35
1.7,Good,H,VS2,63.3,57,12117,7.54,7.59,4.79
0.96,Ideal,F,I1,60.7,55,2801,6.37,6.41,3.88
0.91,Very Good,F,SI1,63.7,58,3991,6.08,6.11,3.88
0.71,Very Good,J,VS1,64.1,58,1993,5.61,5.65,3.61
0.32,Premium,I,VVS2,62.1,59,720,4.38,4.35,2.71
0.57,Good,F,VS2,62.8,62,1642,5.22,5.25,3.29
0.29,Ideal,G,VS1,61.9,55,532,4.25,4.28,2.64
0.38,Ideal,J,SI1,62,54,525,4.67,4.71,2.91
1.2,Good,I,VS1,64.8,58,5600,6.6,6.65,4.29
0.31,Ideal,D,VVS2,62.4,54,815,4.35,4.37,2.72
0.41,Very Good,F,SI1,63.6,57,680,4.72,4.75,3.01
0.5,Premium,F,VS1,59.9,61,1666,5.16,5.13,3.08
0.4,Ideal,I,SI1,61.6,56,596,4.68,4.74,2.9
1.01,Ideal,F,SI2,61.4,56,4239,6.46,6.51,3.98
1.13,Very Good,H,SI1,63.3,56,4689,6.65,6.62,4.2
1.33,Ideal,H,SI1,62.7,56,7088,6.99,7.04,4.4
0.52,Premium,E,SI1,61.8,60,1624,5.18,5.15,3.19
1.1,Very Good,G,IF,60.5,55,8592,6.77,6.71,4.08
0.74,Very Good,I,SI1,63.8,58,2352,5.72,5.76,3.66
0.3,Good,I,VS1,63.7,58,473,4.23,4.25,2.7
0.78,Premium,H,SI2,59.7,59,2074,6.03,5.97,3.58
1.01,Premium,D,SI1,61.2,60,5780,6.47,6.41,3.94
1,Very Good,D,VS2,62.4,57,8138,6.36,6.4,3.98
0.32,Very Good,H,SI1,61.8,56,482,4.38,4.41,2.71
1.51,Ideal,G,VS2,62.1,55,13532,7.33,7.38,4.57
1.58,Good,I,VS1,58.6,62,9775,7.59,7.66,4.47
0.3,Very Good,H,VVS1,63,58,684,4.22,4.25,2.67
0.43,Ideal,H,VVS2,61.3,56,1008,4.9,4.86,2.99
2.01,Premium,I,VS2,62.1,59,15520,8.06,7.98,4.98
0.71,Good,F,VS1,61.8,57,3701,5.73,5.76,3.55
0.7,Good,G,VS1,64.3,57,2625,5.59,5.64,3.61
1.09,Premium,D,SI2,61.9,61,3961,6.58,6.54,4.06
1.01,Premium,G,VS1,62.7,58,6221,6.31,6.36,3.97
2.07,Premium,F,SI2,60.7,59,18611,8.21,8.16,4.97
1.51,Premium,E,SI1,60.6,59,12738,7.45,7.41,4.5
0.41,Ideal,J,VS2,62.2,54.4,637,4.72,4.75,2.95
0.3,Ideal,G,VVS2,61.5,56,684,4.31,4.34,2.66
0.9,Premium,J,VVS2,62.5,61,3459,6.15,6.08,3.82
1.33,Premium,H,VS2,62.6,58,7943,7.07,7.01,4.41
