carat,cut,color,clarity,depth,table,price,x,y,z
2.03,Premium,J,SI2,61.6,58,12268,8.12,8.15,5.01
1.51,Ideal,G,VS2,62.2,57,12947,7.28,7.36,4.55
1.25,Ideal,F,VS2,62.8,57,8764,6.87,6.85,4.31
0.77,Premium,F,VS2,62.4,59,3018,5.85,5.81,3.64
0.7,Ideal,I,VVS2,61.8,56,2530,5.69,5.75,3.54
1.2,Ideal,H,VS1,61.9,57,5242,6.77,6.73,4.18
0.43,Ideal,D,SI1,61.6,56,1036,4.86,4.82,2.98
1.22,Premium,D,VS2,59.6,60,8950,6.97,6.95,4.15
0.71,Very Good,E,VS2,62.5,58,3344,5.69,5.73,3.57
1.03,Premium,H,SI1,61.1,59,4603,6.56,6.5,3.99
1.21,Premium,E,SI1,62.6,58,7334,6.82,6.79,4.26
1.8,Ideal,H,VS1,62,57,16683,7.84,7.78,4.84
0.8,Very Good,E,VS1,62.4,54,4495,5.98,5.94,3.72
0.61,Very Good,D,SI1,58.5,58,1828,5.54,5.64,3.27
0.51,Very Good,F,SI2,62.3,55,1243,5.13,5.15,3.2
0.41,Ideal,F,VS1,62.7,55,1007,4.74,4.77,2.98
0.32,Very Good,F,VVS1,59.4,59,886,4.45,4.47,2.65
1.16,Ideal,I,VS2,60.8,56,5587,6.85,6.81,4.15
0.71,Very Good,F,VS2,63.2,59,2319,5.66,5.6,3.56
0.3,Ideal,E,VVS2,60.2,57,789,4.37,4.4,2.64
1.01,Very Good,I,SI1,62.7,56,4212,6.36,6.43,4.01
0.41,Ideal,G,IF,61.7,56,1431,4.8,4.77,2.95
1,Very Good,F,VS2,61.9,59,5505,6.34,6.38,3.94
0.34,Very Good,I,SI1,61.7,56,459,4.51,4.54,2.79
0.41,Premium,G,VS1,62.5,59,899,4.73,4.77,2.97
0.57,Ideal,D,VS2,61.7,56,2099,5.3,5.37,3.29
0.7,Premium,F,VS2,60.5,58,2648,5.78,5.76,3.49
0.36,Premium,G,SI2,61.9,56,608,4.59,4.55,2.83
0.78,Premium,G,SI2,60.6,58,2486,6.02,5.99,3.64
1.53,Ideal,H,SI2,62.4,58,8034,7.32,7.38,4.59
0.4,Very Good,E,VS2,62.9,55,912,4.72,4.73,2.97
1.52,Very Good,H,VS1,59.8,57,10497,7.47,7.55,4.49
1.01,Premium,G,VVS2,61.7,59,7466,6.44,6.37,3.95
1.53,Good,E,SI1,63.5,58,11303,7.29,7.35,4.65
0.96,Very Good,D,SI2,60.2,63,3480,6.3,6.36,3.81
0.33,Very Good,H,IF,60.3,59,868,4.47,4.49,2.7
0.42,Ideal,F,SI1,60.8,54,843,4.83,4.94,2.97
0.38,Premium,H,VVS2,62,58,1069,4.64,4.62,2.87
0.54,Very Good,D,VS2,61.7,58,1892,5.16,5.24,3.21
0.51,Ideal,G,VVS2,61.1,56,1974,5.19,5.15,3.16
0.92,Premium,E,SI2,62.1,58,3941,6.22,6.18,3.85
1,Good,J,SI1,61.7,62,3690,6.37,6.4,3.94
0.32,Premium,G,SI1,62.6,58,477,4.31,4.35,2.71
0.51,Premium,G,VS1,62.9,58,1781,5.1,5.05,3.19
1.57,Ideal,I,SI1,61.9,55,11040,7.38,7.44,4.59
0.38,Premium,H,VS2,61.8,58,898,4.66,4.63,2.87
0.6,Very Good,H,VS2,64.2,57,1597,5.27,5.32,3.4
0.57,Ideal,G,VVS2,61.7,56,2095,5.3,5.33,3.28
1.53,Very Good,H,SI1,61.3,56,10446,7.42,7.44,4.56
1.01,Very Good,G,VS2,61.4,59,5944,6.42,6.48,3.96
1.01,Ideal,E,SI1,62,56,5534,6.41,6.47,3.99
0.91,Very Good,E,SI2,62.8,59,3968,6.13,6.16,3.86
0.81,Very Good,J,VS2,60.4,59,2283,6.04,6.11,3.67
0.71,Ideal,G,VS1,61.5,55,3431,5.72,5.77,3.54
0.7,Very Good,G,SI1,61.7,57,2010,5.65,5.8,3.53
1.03,Ideal,I,SI1,60.7,60,4458,6.5,6.55,3.96
0.97,Ideal,J,I1,61.6,54,2370,6.34,6.28,3.89
0.31,Ideal,I,IF,60.9,57,635,4.37,4.4,2.67
0.31,Ideal,E,SI1,62.4,57,544,4.31,4.34,2.7
0.95,Premium,G,SI2,59.8,60,3181,6.36,6.34,3.8
1.05,Premium,F,VS2,62.6,58,7025,6.47,6.5,4.06
0.31,Ideal,G,IF,61,56,891,4.38,4.41,2.68
0.26,Ideal,E,VVS2,62.2,56,769,4.15,4.12,2.57
0.31,Premium,E,SI1,62,58,698,4.35,4.3,2.68
0.41,Ideal,H,SI2,61.7,56,787,4.8,4.77,2.95
0.36,Premium,E,VS1,60.4,58,1094,4.67,4.64,2.81
1.01,Fair,G,VS2,66.8,56,4480,6.15,6.09,4.09
0.65,Ideal,D,VVS1,60.9,57,5052,5.58,5.61,3.41
0.95,Very Good,H,SI2,59,59,3335,6.38,6.51,3.77
0.33,Ideal,E,VS2,61.5,57,928,4.47,4.41,2.73
0.88,Ideal,E,VS2,61.4,56,5595,6.15,6.17,3.78
0.74,Very Good,E,SI2,63,58,2282,5.73,5.77,3.62
0.32,Ideal,I,VS2,62.5,57,449,4.35,4.39,2.73
1,Ideal,H,SI2,62,55,4580,6.39,6.43,3.98
0.92,Premium,F,SI2,62.1,60,3083,6.21,6.26,3.87
0.43,Good,D,VS2,59.9,61,976,4.84,4.88,2.91
0.51,Very Good,F,SI2,62.3,55,1243,5.13,5.15,3.2
0.32,Ideal,G,SI1,62.6,55,445,4.38,4.41,2.75
0.71,Fair,E,VS2,64.6,59,2902,5.62,5.59,3.62
0.3,Ideal,D,VS1,61.6,54,718,4.34,4.36,2.68
0.32,Very Good,F,VVS2,63.8,55,701,4.33,4.39,2.78
0.31,Good,G,VS2,63.4,59,544,4.29,4.32,2.73
1.58,Ideal,H,VS2,61.4,56,12334,7.5,7.56,4.62
0.45,Ideal,E,SI2,61.5,55,706,4.92,4.97,3.04
0.3,Ideal,E,VVS2,61.8,56,1013,4.35,4.33,2.68
0.3,Ideal,G,VVS2,62.5,53,655,4.31,4.33,2.7
0.65,Very Good,I,VVS1,62.9,58,2085,5.51,5.53,3.47
1.23,Premium,H,SI2,62,59,5717,6.92,6.88,4.28
0.31,Ideal,F,VVS1,61.4,56,840,4.37,4.4,2.69
1,Ideal,F,SI1,62.7,57,5221,6.44,6.38,4.02
0.76,Ideal,F,VS2,62.6,56,2960,5.82,5.78,3.63
0.92,Ideal,G,SI1,62.6,55,4249,6.22,6.24,3.9
1.01,Premium,F,VS1,62.4,61,7127,6.39,6.36,3.98
0.24,Ideal,G,IF,61.7,56,559,3.99,4.01,2.47
0.9,Good,F,SI1,61,62,3733,6.17,6.26,3.79
0.41,Good,F,VVS2,58.6,60,1172,4.83,4.87,2.84
0.32,Ideal,F,VS1,61,54,716,4.42,4.44,2.7
2,Fair,H,VS1,66,56,14199,7.79,7.72,5.12
0.53,Ideal,G,SI1,61.1,55,1549,5.24,5.26,3.21
0.35,Ideal,H,IF,60.8,56,1017,4.61,4.6,2.8
0.32,Ideal,D,VS1,60.3,57,780,4.42,4.44,2.67
1.23,Premium,F,VS2,59.6,58,9016,7.02,6.94,4.16
0.56,Ideal,E,SI1,60.9,56,1698,5.35,5.32,3.25
1.57,Ideal,G,VS2,61.4,55,13713,7.48,7.52,4.61
0.7,Ideal,D,VS1,62.5,57,3361,5.65,5.68,3.54
0.51,Ideal,H,VS2,61.3,57,1385,5.14,5.16,3.16
0.39,Ideal,D,VVS2,61.8,57,1290,4.71,4.67,2.9
1.22,Premium,I,VS2,62.9,58,5649,6.8,6.75,4.26
0.41,Very Good,F,SI2,62.6,54,612,4.75,4.77,2.98
0.39,Ideal,E,VS1,60.2,56,1123,4.79,4.78,2.88
0.53,Ideal,G,VS1,61.8,55,1813,5.22,5.17,3.21
1,Ideal,G,VS1,62.7,54,6465,6.42,6.37,4.01
0.36,Premium,E,VS2,60.3,59,1013,4.64,4.58,2.78
0.3,Ideal,E,SI1,61.3,56,640,4.34,4.37,2.67
0.41,Ideal,E,VVS2,61.4,57,1243,4.79,4.76,2.93
1.02,Ideal,E,SI1,62.3,54,5509,6.45,6.49,4.03
0.39,Ideal,F,VVS1,62.3,55,1124,4.67,4.7,2.92
0.92,Good,F,SI2,64.2,58,3282,6.14,6.11,3.93
0.23,Ideal,G,VS1,61.6,55,384,3.96,3.99,2.45
0.3,Good,E,VVS2,63.2,59,684,4.27,4.28,2.7
1.24,Ideal,H,VVS2,62,56,8069,6.92,6.86,4.27
1.24,Premium,H,SI2,62.3,58,4444,6.84,6.8,4.25
0.99,Premium,F,SI2,60.6,61,4075,6.45,6.38,3.89
0.71,Ideal,E,SI2,59.3,56,2388,5.89,5.84,3.48
0.39,Premium,D,VS2,61.4,60,958,4.7,4.72,2.89
0.52,Ideal,E,VS2,62.4,57,1743,5.14,5.12,3.2
0.75,Ideal,E,VS2,61.7,56,3150,5.86,5.84,3.61
1.17,Very Good,H,IF,59.3,59,7644,6.92,6.98,4.12
1.12,Ideal,E,SI2,60.9,57,3864,6.66,6.6,4.04
1.1,Ideal,E,SI2,61.6,56,5359,6.66,6.63,4.09
1,Good,F,SI1,57.9,62,4961,6.55,6.58,3.8
0.73,Ideal,G,VVS2,61.3,57,2843,5.81,5.84,3.57
1.11,Premium,I,SI2,61.5,58,4120,6.61,6.65,4.08
0.31,Ideal,D,SI1,62,56,684,4.39,4.35,2.71
0.44,Good,F,SI2,56.6,63,974,5.11,5.06,2.88
0.51,Very Good,E,VS1,61.1,59,1839,5.14,5.2,3.16
1.5,Ideal,G,VS2,62.6,56,12468,7.3,7.26,4.56
0.55,Ideal,G,VS1,61.5,57,1856,5.28,5.23,3.23
0.54,Ideal,G,IF,61.2,57,2289,5.26,5.28,3.22
1.1,Premium,E,SI2,60,60,4201,6.7,6.73,4.03
0.43,Ideal,D,VS2,60.7,57,1129,4.91,4.88,2.97
0.57,Very Good,I,SI1,61.1,61,1151,5.34,5.37,3.27
0.61,Fair,I,VS2,57.4,60.9,1437,5.6,5.65,3.23
0.39,Premium,J,VVS1,62.8,58,921,4.66,4.61,2.91
0.55,Ideal,F,VVS2,62,55,2268,5.26,5.29,3.27
1.01,Premium,F,VS1,58.8,60,7862,6.59,6.51,3.85
0.25,Very Good,E,VVS2,60.2,59,575,4.07,4.14,2.47
1,Fair,G,SI1,66.2,58,4295,6.25,6.15,4.11
1.34,Ideal,G,VS2,61.9,56,9233,7.05,7.1,4.38
0.41,Ideal,F,VS2,62.7,56,1107,4.78,4.72,2.98
0.5,Premium,F,VS1,58,59,1715,5.3,5.22,3.05
0.51,Premium,E,VS2,63,59,1709,5.08,5.05,3.19
0.32,Ideal,H,VS2,60.9,56,523,4.42,4.44,2.7
0.31,Good,E,SI1,63.4,55,507,4.26,4.29,2.71
1.01,Very Good,F,SI1,63.5,59,4989,6.38,6.29,4.02
0.31,Ideal,F,IF,62.2,56,1122,4.34,4.31,2.69
0.74,Ideal,D,VS2,61.9,56,3087,5.84,5.79,3.6
0.38,Very Good,G,VS1,60.7,55,1031,4.71,4.74,2.87
1.01,Premium,G,SI1,62.1,56,4805,6.42,6.36,3.97
1.02,Premium,F,SI1,62.2,58,5089,6.4,6.46,4
1.21,Good,E,SI2,64,62,5787,6.65,6.59,4.24
0.33,Very Good,F,VVS1,61.1,58,912,4.42,4.46,2.71
0.35,Ideal,E,VVS1,62.2,56,1116,4.53,4.51,2.81
0.24,Very Good,E,VVS2,60.6,62,478,4.03,4.06,2.45
1.01,Ideal,J,SI1,62.1,54,3207,6.48,6.4,4
0.53,Ideal,F,SI1,62.6,55,1359,5.17,5.22,3.25
0.5,Good,G,VS2,63.2,57,1410,4.99,5.04,3.17
0.31,Very Good,G,VS1,63.2,56,802,4.32,4.29,2.72
0.51,Ideal,F,VS1,60.4,56,1680,5.18,5.21,3.14
0.81,Ideal,E,SI2,63,56,2901,5.95,5.9,3.73
0.32,Premium,E,SI1,61.6,56,720,4.41,4.39,2.71
0.39,Very Good,F,VVS2,63.5,58,1058,4.65,4.61,2.94
0.58,Ideal,I,VVS1,62.3,53,1580,5.38,5.4,3.36
0.55,Very Good,J,SI1,60.9,56,1100,5.29,5.35,3.24
1.05,Ideal,F,SI1,60.6,59,5586,6.51,6.56,3.96
0.31,Ideal,G,VVS2,62.4,56,907,4.36,4.33,2.71
0.73,Very Good,G,I1,62.5,58,1298,5.74,5.82,3.61
1,Good,F,SI1,64.9,57,4844,6.25,6.32,4.08
0.52,Very Good,I,SI1,62.5,59,978,5.06,5.12,3.18
1,Good,D,VS2,63.6,56,5645,6.38,6.27,4.02
2.03,Ideal,I,VS2,59.9,60,15826,8.17,8.27,4.92
0.54,Premium,G,SI1,61.7,59,1389,5.2,5.17,3.2
0.4,Ideal,G,SI1,60.9,55,873,4.82,4.79,2.93
1.5,Very Good,E,SI2,63.3,57,7728,7.28,7.23,4.59
0.7,Good,D,VS1,60.4,62,3463,5.73,5.76,3.47
1.51,Ideal,J,VS2,61.1,57,8033,7.36,7.3,4.48
0.42,Ideal,G,VS2,61.2,56,1087,4.84,4.8,2.95
0.5,Ideal,I,SI1,61.4,56,1066,5.13,5.16,3.16
1.5,Good,E,SI2,63.3,57,9281,7.31,7.33,4.63
2,Premium,D,SI2,60.8,60,16484,8.15,8.1,4.94
0.3,Ideal,H,VVS1,63,56,878,4.27,4.24,2.68
2.01,Premium,G,VS2,60.6,59,17057,8.16,8.12,4.93
1,Ideal,I,SI1,62.5,56,4649,6.38,6.41,4
0.74,Very Good,I,VS2,60.9,56,2459,5.83,5.86,3.56
1.8,Ideal,H,VS1,62.3,56,15105,7.79,7.76,4.84
0.42,Very Good,D,SI2,60,61,700,4.85,4.89,2.92
0.42,Premium,G,VS2,59.8,58,1087,4.9,4.86,2.92
1.31,Ideal,I,VS1,64.3,59,6573,6.87,6.84,4.41
0.4,Ideal,H,IF,61.9,56,1153,4.72,4.75,2.93
1.1,Premium,E,SI2,59.1,60,4967,6.77,6.7,3.98
0.35,Ideal,G,IF,61.1,56,1044,4.54,4.59,2.79
0.71,Ideal,I,SI2,61.6,56,1947,5.72,5.74,3.53
0.71,Ideal,H,VS2,60.9,55,2450,5.76,5.74,3.5
1.12,Premium,H,SI2,62.4,58,4250,6.63,6.58,4.12
0.7,Fair,E,SI2,58.7,68,1723,5.77,5.72,3.37
0.31,Ideal,E,VS2,61.3,56,872,4.37,4.34,2.67
1.01,Good,G,SI1,63.4,58,4588,6.28,6.33,4
0.71,Good,H,VS1,63.6,55,2315,5.58,5.65,3.57
0.66,Ideal,D,VS2,61.8,56,1981,5.6,5.57,3.45
1.67,Premium,I,VS2,61.9,56,10736,7.64,7.6,4.72
1.08,Ideal,F,VS2,62.5,57,7625,6.52,6.57,4.09
0.31,Premium,F,VS2,62.9,58,802,4.31,4.27,2.7
1.08,Very Good,G,VS2,63.2,60,6096,6.53,6.44,4.1
0.53,Ideal,E,SI1,61.9,55,1435,5.18,5.22,3.22
0.78,Very Good,D,VS2,59.8,60,3672,5.97,6.03,3.59
1.35,Very Good,I,VS2,61.7,59,6884,7.05,7.09,4.36
1.01,Very Good,G,VS2,61.5,56,5759,6.41,6.47,3.96
0.51,Ideal,E,SI1,62.1,55,1438,5.09,5.15,3.18
0.61,Very Good,H,VVS2,62.8,58,1877,5.4,5.42,3.4
1.21,Ideal,J,VS2,62.2,57,4879,6.78,6.82,4.23
2.15,Ideal,I,SI1,60.9,56,13006,8.38,8.33,5.09
0.3,Very Good,I,VVS2,60.1,63,675,4.31,4.28,2.58
0.32,Very Good,H,VVS2,61.6,55,645,4.42,4.44,2.73
1,Very Good,I,SI1,58.5,61,4649,6.51,6.55,3.82
0.7,Fair,D,SI2,65.5,57,1806,5.56,5.43,3.6
0.55,Ideal,D,VS1,61.5,56,2020,5.28,5.26,3.24
2.03,Ideal,F,SI2,61.6,55,18578,8.19,8.14,5.03
0.37,Premium,G,VS2,61.2,60,833,4.63,4.58,2.82
0.84,Very Good,D,SI1,59.9,54,4205,6.2,6.23,3.72
1.05,Premium,E,SI1,62.5,59,5951,6.5,6.43,4.04
1.2,Ideal,I,SI2,62.5,56,3931,6.8,6.7,4.22
0.26,Premium,E,VVS1,62.3,60,599,4.07,4.09,2.54
2.08,Ideal,H,SI2,61.5,57,15065,8.26,8.2,5.06
0.72,Premium,H,SI1,61.5,59,2376,5.71,5.67,3.5
0.42,Premium,D,SI2,62.1,59,898,4.82,4.78,2.98
0.77,Ideal,D,SI1,62.6,57,2949,5.81,5.92,3.67
0.74,Fair,H,VS2,66.1,61,2553,5.6,5.57,3.69
0.9,Premium,E,SI1,59.1,62,4385,6.33,6.3,3.73
0.9,Premium,I,VS2,62.6,62,3292,6.13,6.04,3.81
1.02,Ideal,E,SI2,62.1,55,4798,6.51,6.4,4.01
1.93,Fair,F,VS1,58.9,62,17995,8.17,7.97,4.75
1.22,Premium,G,SI2,60.5,58,5739,6.96,6.92,4.2
1.01,Fair,F,VS2,61.1,60,6271,6.49,6.4,3.94
0.44,Very Good,F,SI1,62.8,59,829,4.88,4.91,3.07
0.6,Ideal,D,VVS2,61.9,55,3382,5.41,5.45,3.36
0.5,Good,F,VS2,59.7,63,1354,5.08,5.1,3.04
0.32,Ideal,F,IF,60.7,56,990,4.43,4.46,2.7
1.01,Very Good,D,I1,63.4,61,2291,6.38,6.3,4.02
0.6,Ideal,F,VS2,58.6,60,1923,5.54,5.62,3.27
1.01,Premium,H,SI2,63,59,3671,6.33,6.27,3.97
0.31,Good,H,VS1,63.1,57,544,4.31,4.34,2.73
1.01,Good,G,SI2,63.6,58,3626,6.31,6.37,4.03
0.78,Very Good,D,VS2,63,58,3534,5.8,5.86,3.67
0.39,Ideal,E,VVS2,62.1,54.6,1100,4.67,4.7,2.91
0.53,Premium,E,SI1,62.2,56,1654,5.22,5.16,3.23
0.3,Ideal,G,SI1,62.3,56,477,4.29,4.31,2.68
0.72,Premium,J,I1,62.9,59,945,5.8,5.63,3.58
0.31,Ideal,G,VVS1,61.7,54,789,4.36,4.39,2.7
2,Premium,G,SI2,60.7,60,10833,8.13,8.07,4.92
0.3,Very Good,E,VVS1,60.5,57,862,4.37,4.39,2.65
1.23,Premium,J,VS1,60.1,60,5209,6.9,6.95,4.16
0.3,Premium,I,VVS1,62.5,60,709,4.27,4.24,2.66
1.01,Premium,E,VS2,62.4,60,6488,6.39,6.43,4
0.71,Ideal,E,SI1,61.1,57,3128,5.75,5.77,3.52
1.52,Good,E,I1,57.3,58,3105,7.53,7.42,4.28
0.72,Very Good,E,SI2,59.8,58,2345,5.84,5.86,3.5
0.54,Ideal,G,SI2,62.7,56,1287,5.23,5.2,3.27
0.41,Very Good,H,IF,62.9,54,1187,4.71,4.74,2.97
1.13,Premium,F,VS2,59.8,61,6822,6.81,6.76,4.06
0.65,Very Good,F,VS2,64,55.3,2241,5.5,5.57,3.54
0.32,Premium,H,VS1,62.3,58,720,4.39,4.34,2.72
1.03,Premium,I,VS1,60.1,59,4199,6.53,6.46,3.9
0.6,Premium,E,VS2,62.7,58,1819,5.34,5.37,3.36
1.23,Ideal,J,VS2,61.5,57,5217,6.9,6.95,4.26
0.42,Ideal,E,SI1,61.3,57,992,4.81,4.79,2.94
1.51,Premium,E,I1,59,62,6494,7.41,7.36,4.36
0.51,Very Good,H,VS1,63.4,57,1437,5.09,5.06,3.22
1,Very Good,F,VS2,61.9,58,6927,6.41,6.49,3.99
0.74,Very Good,J,VS1,62.7,58,2170,5.75,5.8,3.62
0.71,Premium,G,VVS2,60.3,58,2839,5.82,5.78,3.5
0.5,Very Good,F,VS2,63,58,1436,5.05,5.08,3.19
0.34,Ideal,E,VS1,61.8,57,805,4.47,4.5,2.77
0.31,Premium,G,IF,61.7,54,988,4.36,4.33,2.68
2.08,Premium,I,SI2,60.8,61,14047,8.24,8.21,5
0.53,Ideal,H,SI1,62.4,59,1226,5.18,5.21,3.24
1.07,Ideal,G,VS1,62,56,7198,6.58,6.52,4.06
1.04,Good,H,I1,63.9,58,3261,6.42,6.35,4.08
1.06,Ideal,E,SI2,60.9,57,5147,6.58,6.62,4.02
0.91,Good,H,VS1,57.8,61,4566,6.4,6.36,3.69
1.52,Very Good,I,SI2,59.8,62,7866,7.41,7.47,4.45
0.31,Ideal,F,VVS1,62,54,840,4.36,4.38,2.71
0.51,Good,D,SI2,63.9,55,1180,5.04,5.1,3.24
0.47,Ideal,D,VVS1,62,54,2460,4.99,5.01,3.1
1.04,Ideal,F,VS1,61.4,57,7015,6.51,6.56,4.01
0.35,Ideal,F,VS2,61.4,55,706,4.55,4.6,2.81
0.91,Fair,D,VS2,65.1,63,4439,6.02,6,3.91
1.5,Very Good,I,VS2,58.2,60,9118,7.5,7.58,4.39
1,Premium,H,VS2,59.6,59,5069,6.54,6.47,3.88
0.83,Ideal,G,VS1,62.1,55,4989,6.02,6.05,3.75
0.64,Ideal,D,SI1,62.1,57,1991,5.52,5.49,3.42
0.4,Ideal,F,VS1,62.7,55,1050,4.76,4.74,2.98
0.78,Premium,F,VS1,60.6,57,3342,6,5.95,3.62
0.31,Premium,G,VS2,61.2,58,698,4.37,4.32,2.66
1.51,Good,I,SI1,63.9,59,9069,7.18,7.26,4.61
0.52,Ideal,E,SI1,62.1,54,1341,5.17,5.2,3.22
0.31,Good,F,VS2,64.2,59,744,4.3,4.23,2.74
0.32,Ideal,D,SI1,61.4,57,589,4.41,4.42,2.71
1.04,Ideal,J,VVS2,61.1,58,5242,6.49,6.57,3.99
0.31,Ideal,D,VS1,62,54,877,4.36,4.35,2.7
0.33,Ideal,F,VS2,61.9,57,666,4.4,4.42,2.73
0.9,Good,E,VS1,62.7,58,5201,6.07,6.12,3.82
0.32,Ideal,E,SI1,61.5,55,532,4.4,4.44,2.72
1.03,Ideal,H,SI1,62.4,56,4800,6.45,6.5,4.04
1.52,Premium,D,SI2,61.4,54,10308,7.51,7.43,4.59
2.07,Premium,E,SI2,61.4,58,13786,8.24,8.19,5.04
0.51,Ideal,F,VVS2,62.6,57,2093,5.1,5.13,3.2
0.74,Ideal,J,VS1,61.2,56,1985,5.82,5.87,3.58
0.78,Ideal,D,VS1,62.2,57,4350,5.86,5.9,3.66
0.52,Ideal,F,SI1,62.2,54,1223,5.19,5.23,3.24
1.01,Ideal,F,SI2,62.7,57,4843,6.36,6.39,4
0.32,Ideal,F,VVS1,61.8,55,990,4.41,4.36,2.71
0.56,Ideal,D,VS2,60.6,56,1963,5.33,5.37,3.24
0.42,Ideal,D,SI1,62,55,1040,4.84,4.83,3
1.51,Very Good,H,VS2,60.9,54,11077,7.38,7.41,4.5
1.2,Premium,G,SI2,62.4,58,5846,6.77,6.73,4.21
0.82,Ideal,D,VS2,60.8,57,4628,6.02,6.05,3.67
0.52,Ideal,G,VS2,61.2,56,1586,5.16,5.2,3.17
0.3,Good,F,VS1,63.7,56,570,4.26,4.28,2.72
0.43,Very Good,G,VVS2,62.3,60,1056,4.78,4.85,3
0.92,Premium,I,VS2,60.9,58,3895,6.28,6.27,3.82
2.02,Good,I,VS1,65.5,57,15765,7.88,7.96,5.19
0.31,Ideal,H,VS1,62.4,55,698,4.36,4.33,2.71
1.01,Very Good,H,VS2,61,63,5050,6.41,6.38,3.9
0.32,Premium,I,VS2,61.1,57,576,4.42,4.39,2.69
0.77,Ideal,D,SI2,60.6,56,2922,5.95,5.9,3.59
